Subfamily,Tribe,Division,Genus,Species,Species authority,Genus authority,Geographic Region,Genus species,Exons,Exons to Capture,Exons Status,Source Institution,Exome,Exome Status,Genome,Genome Status,Sperm,Skin,Notes Status,Notes Taxon,Samples,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,gliroides,Blyth,Blyth,SUNDA,Chiropodomys gliroides,Y ,N,Complete,,Y ,Complete,,,,,,,Chiropodomys_gliroides_KCR2069_Z25153_EC1,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,karlkoopmani,Musser,Blyth,SUNDA,Chiropodomys karlkoopmani,Y ,N,Complete,,NO,,,,,Y,,,Chiropodomys_karlkoopmani_NHM_1978_2959_EC4,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,major,Thomas,Blyth,SUNDA,Chiropodomys major,Y ,Y,To Request,(skin),NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,muroides,Medway,Blyth,SUNDA,Chiropodomys muroides,Y ,N,Complete,,NO,,,,,Y,,,Chiropodomys_muroides_BMNH290_EC4,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,pusillus,Thomas,Blyth,SUNDA,Chiropodomys pusillus,Y ,Y,To Request,(skin),NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Pogonomys,Chiruromys,forbesi,Thomas,Thomas,SAHUL,Chiruromys forbesi,Y ,N,Complete,,NO,,,,,Y,,Check joraindi,Chiruromys_forbesi_M39352_EC4,Chiruromys_forbesi_-pulcher-_NHM_76_1020_EC4,Chiruromys_forbesi_-joraindi-_NHM_50_1163_EC4,,,,,,,,,
Murinae,Hydromyini,Pogonomys,Chiruromys,lamia,Thomas,Thomas,SAHUL,Chiruromys lamia,Y ,N,Complete,,NO,,,,,Y,,,Chiruromys_lamia_NHM_47_1263_EC4,,,,,,,,,,,
Murinae,Hydromyini,Pogonomys,Chiruromys,vates,Thomas,Thomas,SAHUL,Chiruromys vates,Y ,N,Complete,,Y ,In Capture at UoM,,,,,,,Chiruromys_vates_M14662_EC2,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Chrotomys,gonzalesi,Rickart & Heaney,Thomas,PHILIPPINES,Chrotomys gonzalesi,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Chrotomys,mindorensis,Kellogg,Thomas,PHILIPPINES,Chrotomys mindorensis,Y ,N,Exome,,Y ,Complete,,,,,,,Chrotomys_mindorensis_JAE520_EXOME,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Chrotomys,sibuyanensis,Rickart;  Heaney;  Goodman;  & Jansa,Thomas,PHILIPPINES,Chrotomys sibuyanensis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Chrotomys,silaceus,Thomas,Thomas,PHILIPPINES,Chrotomys silaceus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Chrotomys,whiteheadi,Thomas,Thomas,PHILIPPINES,Chrotomys whiteheadi,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,incertae sedis,Coccymys,kirrhos,Musser & Lunde,Tate & Archbold,SAHUL,Coccymys kirrhos,Maybe,Maybe,UNKNOWN SOURCE,,NO,,,,,,AMNH,,,,,,,,,,,,,
Murinae,Hydromyini,incertae sedis,Coccymys,ruemmleri,Tate & Archbold,Tate & Archbold,SAHUL,Coccymys ruemmleri,Y ,N,Complete,,Y ,In Capture at UoM,,,,,,,Coccymys_ruemmleri_M22281_EC5,,,,,,,,,,,
Murinae,Hydromyini,incertae sedis,Coccymys,shawmayeri,Hinton,Tate & Archbold,SAHUL,Coccymys shawmayeri,Y ,N,Complete,,NO,,,,,,,Sample mis-ID'd as C. ruemmleri (corrected by Helgen),Coccymys_ruemmleri_ABTC47187_EC1,,,,,,,,,,,
Murinae,Praomyini,Colomys,Colomys,goslingi,Thomas & Wroughton,Thomas & Wroughton,AFRICA,Colomys goslingi,Y ,N,Exome,,Y ,Complete,,,,,,,Colomys_goslingi_TCD4175_EXOME,,,,,,,,,,,
Murinae,Hydromyini,Conilurus,Conilurus,albipes,Lichtenstein,Lichtenstein,SAHUL,Conilurus albipes,Y ,N,Complete,,Y ,Complete,,,,Y,,Extinct,Conilurus_albipes_NMV_C7585_EC4,Conilurus_albipes_NMV_C7586_EC1,,,,,,,,,,
Murinae,Hydromyini,Conilurus,Conilurus,capricornensis,Cramb & Hocknull,Lichtenstein,SAHUL,Conilurus capricornensis,No ,N,Subfossil,,NO,,,,,,,NO - Subfossil Only,,,,,,,,,,,,
Murinae,Hydromyini,Conilurus,Conilurus,penicillatus,Gould,Lichtenstein,SAHUL,Conilurus penicillatus,Y ,N,Complete,,Y ,Complete,,,,,,,Conilurus_penicillatus_ABTC7411_EC1,,,,,,,,,,,
